"materialEntity_fk"	"assertionValue"	"assertionUnit"	"assertionType"	"assertionBy"
"P188.1BS_pure"	56	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P188.2AL"	63	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P188.2AL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P188.2AS"	9	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P188.2AS_pure"	10	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P188.2BS"	51	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P188.2BS_pure"	27	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P189.1AL"	20	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P189.1AL_pure"	30	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P189.1AS"	47	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P189.1AS_pure"	22	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P189.1BL"	45	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P189.1BL_pure"	37	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P189.1BS"	81	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P189.1BS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P189.2AL"	22	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P189.2AL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P189.2AS"	59	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P189.2AS_pure"	31	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P189.2BL"	44	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P189.2BL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P189.2BS"	86	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P189.2BS_pure"	43	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P19.1AL"	10	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P19.1AL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P19.1AS"	32	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P19.1AS_pure"	25	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P19.2AS"	22	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P19.2AS_pure"	17	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P19.2BS"	56	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P19.2BS_pure"	27	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P190.1AS"	39	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P190.1AS_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P190.1BL"	8	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P190.1BS"	132	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P190.1BS_pure"	32	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P190.2AL"	53	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P190.2AL_pure"	28	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P190.2AS"	41	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P190.2AS_pure"	25	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P190.2BS"	758	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P190.2BS_pure"	51	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P191.1BL"	13	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P191.1BL_pure"	20	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P191.1BS"	6818	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P191.1BS_pure"	36	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P192.1AL"	291	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P192.1AS"	302	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P192.1BL"	83	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P192.1BS"	140	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P192.2AL"	420	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P192.2AS"	58	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P192.2BS"	63	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P193.1AS"	795	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P193.1BL"	14	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P193.1BS"	22	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P193.2AS"	327	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P193.2BS"	75	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P194.1AL"	53	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P194.1AL_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P194.1AS"	61	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P194.1AS_pure"	35	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P194.1BS"	13	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P194.1BS_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P195.1AL"	11	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P195.1AL_pure"	19	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P195.1AS"	204	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P195.1AS_pure"	46	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P195.1BL"	274	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P195.1BL_pure"	20	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P195.1BS"	163	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P195.1BS_pure"	14	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P195.2AL"	20	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P195.2AL_pure"	18	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P195.2AS"	201	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P195.2AS_pure"	39	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P195.2BS"	67	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P195.2BS_pure"	35	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P196.1AL"	27	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P196.1AL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P196.1AS"	137	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P196.1AS_pure"	39	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P196.1BL"	335	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P196.1BL_pure"	40	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P196.1BS"	119	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P196.1BS_pure"	43	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P196.2AL"	121	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P196.2AL_pure"	27	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P196.2AS"	113	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P196.2AS_pure"	39	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P196.2BL"	14	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P196.2BL_pure"	26	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P196.2BS"	106	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P196.2BS_pure"	41	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P197.1AL"	18	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P197.1AL_pure"	21	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P197.1AS"	85	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P197.1AS_pure"	43	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P197.1BL"	315	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P197.1BL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P197.1BS"	295	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P197.1BS_pure"	45	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P197.2AL"	105	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P197.2AL_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P197.2AS"	31	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P197.2BL"	16	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P197.2BS"	98	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P197.2BS_pure"	34	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P198.1AL"	11	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P198.1AL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P198.1AS"	233	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P198.1AS_pure"	37	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P198.1BL"	95	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P198.1BL_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P198.1BS"	284	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P198.1BS_pure"	60	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P198.2AL"	28	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P198.2AL_pure"	10	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P198.2AS"	35	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P198.2AS_pure"	24	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P198.2BS"	60	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P198.2BS_pure"	42	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P199.1AL"	350	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P199.1AL_pure"	17	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P199.1AS"	490	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P199.1AS_pure"	45	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P199.1BL"	80	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P199.1BL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P199.1BS"	220	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P199.1BS_pure"	51	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P2.1AS_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P2.1BS"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P2.1BS_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P2.2AL"	37	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P2.2AL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P2.2AS"	57	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P2.2AS_pure"	10	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P20.1AL"	15	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P20.1AL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P20.1AS"	137	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P20.1AS_pure"	17	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P20.1BL"	41	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P20.1BL_pure"	17	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P20.1BS"	154	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P20.1BS_pure"	59	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P20.2AL"	35	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P20.2AL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P20.2AS"	69	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P20.2AS_pure"	29	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P20.2BL"	16	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P20.2BL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P20.2BS"	386	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P20.2BS_pure"	33	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P200.1AS"	138	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P200.1AS_pure"	39	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P200.1BL"	45	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P200.1BL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P200.1BS"	38	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P200.1BS_pure"	25	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P200.2AS"	60	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P200.2AS_pure"	30	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P200.2BS"	35	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P200.2BS_pure"	29	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P201.1AL"	155	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P201.1AL_pure"	27	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P201.1AS"	37	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P201.1AS_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P201.1BL"	17	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P201.1BL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P201.1BS"	5	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P201.1BS_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P201.2AS"	42	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P201.2AS_pure"	29	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P201.2BL"	28	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P201.2BL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P201.2BS"	32	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P201.2BS_pure"	26	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P202.1AL"	24	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P202.1AL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P202.1AS"	40	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P202.1AS_pure"	28	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P202.1BL"	29	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P202.1BL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P202.1BS"	202	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P202.1BS_pure"	52	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P203.1AS"	2	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P203.1AS_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P203.1BS"	23	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P203.1BS_pure"	18	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P203.2AL"	7	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P203.2AL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P203.2AS"	13	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P203.2AS_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P203.2BS"	10	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P203.2BS_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P204.1AL"	138	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P204.1AL_pure"	35	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P204.1AS"	231	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P204.1AS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P204.1BL"	84	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P204.1BL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P204.1BS"	1100	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P204.1BS_pure"	55	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P204.2AL"	65	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P204.2AL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P204.2AS"	911	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P204.2AS_pure"	43	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P204.2BL"	91	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P204.2BL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P204.2BS"	1926	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P204.2BS_pure"	111	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P205.1AS"	21	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P205.1AS_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P205.1BL"	25	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P205.1BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P205.1BS"	62	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P205.1BS_pure"	33	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P205.2AL"	2	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P205.2AL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P205.2AS"	58	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P205.2AS_pure"	35	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P205.2BS"	44	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P205.2BS_pure"	23	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P206.1AL"	252	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P206.1AL_pure"	27	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P206.1AS"	95	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P206.1AS_pure"	35	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P206.1BL"	208	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P206.1BL_pure"	34	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P206.1BS"	558	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P206.1BS_pure"	22	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P206.2AS"	119	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P206.2AS_pure"	33	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P206.2BL"	11	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P206.2BL_pure"	20	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P206.2BS"	135	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P206.2BS_pure"	37	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P207.1AS"	37	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P207.1AS_pure"	31	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P207.1BL"	2	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P207.1BL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P207.1BS"	42	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P207.1BS_pure"	28	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P207.2AS"	73	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P207.2AS_pure"	40	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P207.2BL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P207.2BS"	146	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P207.2BS_pure"	43	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P208.1AL"	7	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P208.1AL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P208.1AS"	178	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P208.1AS_pure"	47	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P208.1BL"	100	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P208.1BL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P208.1BS"	52	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P208.1BS_pure"	25	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P208.2AL"	24	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P208.2AL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P208.2AS"	46	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P208.2AS_pure"	22	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P208.2BL"	25	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P208.2BL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P208.2BS"	49	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P208.2BS_pure"	27	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P209.1AL"	9	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P209.1AL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P209.1AS"	172	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P209.1AS_pure"	41	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P209.1BL"	49	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P209.1BL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P209.1BS"	405	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P209.1BS_pure"	44	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P209.2AL"	19	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P209.2AL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P209.2AS"	105	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P209.2AS_pure"	42	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P209.2BS"	126	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P209.2BS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P21.1AL"	27	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P21.1AL_pure"	10	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P21.1AS"	212	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P21.1AS_pure"	74	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P21.1BL"	52	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P21.1BL_pure"	18	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P21.1BS"	145	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P21.1BS_pure"	64	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P21.2AL"	20	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P21.2AL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P21.2AS"	40	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P21.2AS_pure"	26	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P21.2BL"	8	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P21.2BS"	79	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P21.2BS_pure"	32	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P210.1AL"	32	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P210.1AL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P210.1AS"	294	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P210.1AS_pure"	49	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P210.1BL"	45	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P210.1BL_pure"	10	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P210.1BS"	231	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P210.1BS_pure"	41	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P210.2AL"	46	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P210.2AL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P210.2AS"	44	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P210.2AS_pure"	34	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P210.2BS"	69	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P210.2BS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P211.1AL"	78	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P211.1AL_pure"	15	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P211.1AS"	55	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P211.1AS_pure"	29	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P211.1BL"	134	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P211.1BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P211.1BS"	140	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
